,name,url,country
0,Majah Ha Adrif,https://en.wikipedia.org/wiki/Majah_Ha_Adrif,Afghanistan
1,Haroon al-Afghani,https://en.wikipedia.org/wiki/Haroon_al-Afghani,Afghanistan
2,Tayyab Agha,https://en.wikipedia.org/wiki/Tayyab_Agha,Afghanistan
3,Khadija Zahra Ahmadi,https://en.wikipedia.org/wiki/Khadija_Zahra_Ahmadi,Afghanistan
4,Aziza Ahmadyar,https://en.wikipedia.org/wiki/Aziza_Ahmadyar,Afghanistan
5,Muqadasa Ahmadzai,https://en.wikipedia.org/wiki/Muqadasa_Ahmadzai,Afghanistan
6,Mohammad Sarwar Ahmedzai,https://en.wikipedia.org/wiki/Mohammad_Sarwar_Ahmedzai,Afghanistan
7,Amir Muhammad Akhundzada,https://en.wikipedia.org/wiki/Amir_Muhammad_Akhundzada,Afghanistan
8,Nasrullah Baryalai Arsalai,https://en.wikipedia.org/wiki/Nasrullah_Baryalai_Arsalai,Afghanistan
9,Abdul Rahim Ayoubi,https://en.wikipedia.org/wiki/Abdul_Rahim_Ayoubi,Afghanistan
10,Ismael Balkhi,https://en.wikipedia.org/wiki/Ismael_Balkhi,Afghanistan
11,Abdul Baqi Turkistani,https://en.wikipedia.org/wiki/Abdul_Baqi_Turkistani,Afghanistan
12,Mohammad Ghous Bashiri,https://en.wikipedia.org/wiki/Mohammad_Ghous_Bashiri,Afghanistan
13,Jan Baz,https://en.wikipedia.org/wiki/Jan_Baz,Afghanistan
14,Bashir Ahmad Bezan,https://en.wikipedia.org/wiki/Bashir_Ahmad_Bezan,Afghanistan
15,Rafiullah Bidar,https://en.wikipedia.org/wiki/Rafiullah_Bidar,Afghanistan
16,Mohammad Siddiq Chakari,https://en.wikipedia.org/wiki/Mohammad_Siddiq_Chakari,Afghanistan
17,Cheragh Ali Cheragh,https://en.wikipedia.org/wiki/Cheragh_Ali_Cheragh,Afghanistan
18,Nasir Ahmad Durrani,https://en.wikipedia.org/wiki/Nasir_Ahmad_Durrani,Afghanistan
19,Muhammad Hashim Esmatullahi,https://en.wikipedia.org/wiki/Muhammad_Hashim_Esmatullahi,Afghanistan
20,Ezatullah (Nangarhar),https://en.wikipedia.org/wiki/Ezatullah_(Nangarhar),Afghanistan
21,Aimal Faizi,https://en.wikipedia.org/wiki/Aimal_Faizi,Afghanistan
22,Gajinder Singh Safri,https://en.wikipedia.org/wiki/Gajinder_Singh_Safri,Afghanistan
23,Sharif Ghalib,https://en.wikipedia.org/wiki/Sharif_Ghalib,Afghanistan
