,Geography,Population
0,WORLD,8009.0
1,AFRICA,1453.0
2,NORTHERN AFRICA,256.0
3,Algeria,46.8
4,Egypt,105.2
5,Libya,6.9
6,Morocco,37.0
7,Sudan,48.1
8,Tunisia,11.9
9,Western Sahara,0.6
10,WESTERN AFRICA,442.0
11,Benin,13.7
12,Burkina Faso,22.9
13,Cape Verde,0.6
14,Cote d'Ivoire,30.9
15,Gambia,2.8
16,Ghana,34.1
17,Guinea,14.2
18,Guinea-Bissau,2.2
19,Liberia,5.4
20,Mali,23.3
21,Mauritania,4.9
22,Niger,27.2
23,Nigeria,223.8
24,Senegal,18.3
25,Sierra Leone,8.9
26,Togo,9.1
27,EASTERN AFRICA,483.0
28,Burundi,13.2
29,Comoros,0.9
30,Djibouti,1.1
31,Eritrea,3.7
32,Ethiopia,126.5
33,Kenya,55.1
34,Madagascar,30.4
35,Malawi,19.8
36,Mauritius,1.3
37,Mayotte,0.3
38,Mozambique,33.9
39,Reunion,0.9
40,Rwanda,14.1
41,Seychelles,0.1
42,Somalia,18.1
43,South Sudan,11.1
44,Tanzania,67.4
45,Uganda,48.6
46,Zambia,20.2
47,Zimbabwe,16.7
48,MIDDLE AFRICA,202.0
49,Angola,36.7
50,Cameroon,28.1
51,Central African Republic,6.2
52,Chad,18.3
53,Congo,6.1
54,Congo DR,102.3
55,Equatorial Guinea,1.7
56,Gabon,2.4
57,Sao Tome and Principe,0.2
58,SOUTHERN AFRICA,70.0
59,Botswana,2.7
60,eSwatini,1.2
61,Lesotho,2.3
62,Namibia,2.6
63,South Africa,60.7
64,NORTHERN AMERICA,375.0
65,Canada,40.1
66,United States,335.0
67,LATIN AMERICA AND THE CARIBBEAN,652.0
68,CENTRAL AMERICA,182.0
69,Belize,0.5
70,Costa Rica,5.3
71,El Salvador,6.4
72,Guatemala,18.1
73,Honduras,9.7
74,Mexico,131.0
75,Nicaragua,6.8
76,Panama,4.5
77,CARIBBEAN,44.0
78,Antigua and Barbuda,0.1
79,Bahamas,0.4
80,Barbados,0.3
81,Cuba,11.0
82,Curacao,0.1
83,Dominica,0.1
84,Dominican Republic,11.3
85,Grenada,0.1
86,Guadeloupe,0.4
87,Haiti,11.6
88,Jamaica,2.8
89,Martinique,0.3
90,Puerto Rico,3.3
91,St. Kitts and Nevis,0.1
92,St. Lucia,0.2
93,St. Vincent and the Grenadines,0.1
94,Trinidad and Tobago,1.4
95,SOUTH AMERICA,426.0
96,Argentina,46.3
97,Bolivia,12.2
98,Brazil,204.0
99,Chile,20.0
100,Colombia,52.2
101,Ecuador,17.1
102,French Guiana,0.3
103,Guyana,0.8
104,Paraguay,6.2
105,Peru,33.8
106,Suriname,0.6
107,Uruguay,3.6
108,Venezuela,28.8
109,ASIA,4739.0
110,WESTERN ASIA,299.0
111,Armenia,3.0
112,Azerbaijan,10.2
113,Bahrain,1.6
114,Cyprus,1.3
115,Georgia,3.8
116,Iraq,45.5
117,Israel,9.8
118,Jordan,11.4
119,Kuwait,4.4
120,Lebanon,5.4
121,Oman,5.0
122,Palestinian Territory,5.5
123,Qatar,2.7
124,Saudi Arabia,36.9
125,Syria,23.2
126,Turkey,85.6
127,United Arab Emirates,9.5
128,Yemen,34.4
129,CENTRAL ASIA,80.0
130,Kazakhstan,19.9
131,Kyrgyzstan,6.8
132,Tajikistan,10.2
133,Turkmenistan,7.1
134,Uzbekistan,36.4
135,SOUTH ASIA,2029.0
136,Afghanistan,42.4
137,Bangladesh,173.5
138,Bhutan,0.8
139,India,1428.6
140,Iran,89.2
141,Maldives,0.6
142,Nepal,30.9
143,Pakistan,240.5
144,Sri Lanka,22.7
145,SOUTHEAST ASIA,682.0
146,Brunei,0.4
147,Cambodia,17.0
148,Indonesia,278.7
149,Laos,7.5
150,Malaysia,33.4
151,Myanmar,55.4
152,Philippines,117.3
153,Singapore,5.8
154,Thailand,66.0
155,Timor Leste,1.4
156,Vietnam,98.9
157,EAST ASIA,1648.0
158,China,1411.3
159,China (Hong Kong SAR),7.3
160,China (Macao SAR),0.7
161,Japan,124.5
162,Korea (North),26.2
163,Korea (South),51.4
164,Mongolia,3.5
165,Taiwan,23.4
166,EUROPE,744.0
167,NORTHERN EUROPE,108.0
168,Denmark,5.9
169,Estonia,1.4
170,Finland,5.6
171,Iceland,0.4
172,Ireland,5.2
173,Latvia,1.9
174,Lithuania,2.9
175,Norway,5.5
176,Sweden,10.5
177,United Kingdom,68.1
178,WESTERN EUROPE,199.0
179,Austria,9.2
180,Belgium,11.8
181,France,65.9
182,Germany,84.9
183,Liechtenstein,0.0
184,Luxembourg,0.7
185,Monaco,0.0
186,Netherlands,17.9
187,Switzerland,8.8
188,EASTERN EUROPE,285.0
189,Belarus,9.2
190,Bulgaria,6.4
191,Czechia,10.9
192,Hungary,9.6
193,Moldova,3.4
194,Poland,37.7
195,Romania,19.1
196,Russia,146.9
197,Slovakia,5.4
198,Ukraine,36.7
