,country,region,population,article_title,revision_id,article_quality
0,Afghanistan,South Asia,42.4,Majah Ha Adrif,1233202991.0,Start
1,Afghanistan,South Asia,42.4,Haroon al-Afghani,1230459615.0,B
2,Afghanistan,South Asia,42.4,Tayyab Agha,1225661708.0,Start
3,Afghanistan,South Asia,42.4,Khadija Zahra Ahmadi,1234741562.0,Stub
4,Afghanistan,South Asia,42.4,Aziza Ahmadyar,1195651393.0,Start
5,Afghanistan,South Asia,42.4,Muqadasa Ahmadzai,1235521766.0,Start
6,Afghanistan,South Asia,42.4,Mohammad Sarwar Ahmedzai,1176429234.0,Start
7,Afghanistan,South Asia,42.4,Amir Muhammad Akhundzada,1247931713.0,Start
8,Afghanistan,South Asia,42.4,Nasrullah Baryalai Arsalai,1225385278.0,Start
9,Afghanistan,South Asia,42.4,Abdul Rahim Ayoubi,1226326055.0,Start
10,Afghanistan,South Asia,42.4,Ismael Balkhi,1244521219.0,Start
11,Afghanistan,South Asia,42.4,Abdul Baqi Turkistani,1231655023.0,Stub
12,Afghanistan,South Asia,42.4,Mohammad Ghous Bashiri,1237694188.0,Start
13,Afghanistan,South Asia,42.4,Jan Baz,1227635806.0,Stub
14,Afghanistan,South Asia,42.4,Bashir Ahmad Bezan,1248505877.0,Start
15,Afghanistan,South Asia,42.4,Rafiullah Bidar,1197443408.0,Stub
16,Afghanistan,South Asia,42.4,Mohammad Siddiq Chakari,1134129082.0,Stub
17,Afghanistan,South Asia,42.4,Cheragh Ali Cheragh,1193992206.0,Start
18,Afghanistan,South Asia,42.4,Nasir Ahmad Durrani,988838315.0,Stub
19,Afghanistan,South Asia,42.4,Muhammad Hashim Esmatullahi,949986748.0,Stub
20,Afghanistan,South Asia,42.4,Ezatullah (Nangarhar),1158302291.0,Stub
21,Afghanistan,South Asia,42.4,Aimal Faizi,1185105938.0,Stub
22,Afghanistan,South Asia,42.4,Gajinder Singh Safri,1212323536.0,Stub
23,Afghanistan,South Asia,42.4,Sharif Ghalib,1245967190.0,Start
24,Afghanistan,South Asia,42.4,Hashmat Ghani Ahmadzai,1207743719.0,C
25,Afghanistan,South Asia,42.4,Abdul Ghani Ghani,1227026187.0,Stub
26,Afghanistan,South Asia,42.4,Ghulam Ghaus,1158659195.0,Stub
27,Afghanistan,South Asia,42.4,Ghulam Muhammad Ghobar,1240993642.0,Stub
28,Afghanistan,South Asia,42.4,Mohammad Gul (Helmand Council),1136611354.0,Stub
29,Afghanistan,South Asia,42.4,Sayed Yousuf Halim,1234514565.0,Stub
30,Afghanistan,South Asia,42.4,Rangina Hamidi,1234743111.0,C
31,Afghanistan,South Asia,42.4,Sayed Zafar Hashemi,1179137138.0,Start
32,Afghanistan,South Asia,42.4,Qutbuddin Hilal,1246566795.0,Start
33,Afghanistan,South Asia,42.4,Mahboba Hoqomal,1243745950.0,Stub
34,Afghanistan,South Asia,42.4,Musa Hotak,1246566804.0,Start
35,Afghanistan,South Asia,42.4,Mirza Muhammad Ismail,1235165845.0,C
36,Afghanistan,South Asia,42.4,Sayed Jalal,1137130537.0,Start
37,Afghanistan,South Asia,42.4,Said Tayeb Jawad,1248976824.0,C
38,Afghanistan,South Asia,42.4,Sayed Jalal Karim,1136614743.0,Start
39,Afghanistan,South Asia,42.4,Hafizullah Shabaz Khail,1238402857.0,Start
40,Afghanistan,South Asia,42.4,Masoud Khalili,1246566971.0,GA
41,Afghanistan,South Asia,42.4,Mohammad Khan (athlete),1247727443.0,Stub
42,Afghanistan,South Asia,42.4,Samoud Khan,1195409073.0,Start
43,Afghanistan,South Asia,42.4,Baran Khan Kudezai,1176481824.0,Start
44,Afghanistan,South Asia,42.4,Azizullah Lodin,1247762293.0,Start
45,Afghanistan,South Asia,42.4,Razaq Mamoon,1227180106.0,Start
46,Afghanistan,South Asia,42.4,Fazel Ahmed Manawi,1234514379.0,Start
47,Afghanistan,South Asia,42.4,Moeen Marastial,1246567093.0,Start
48,Afghanistan,South Asia,42.4,Ahmad Wali Massoud,1221720658.0,Start
49,Afghanistan,South Asia,42.4,Mohammad Daud Miraki,1227103354.0,C
50,Afghanistan,South Asia,42.4,Abdul Sattar Mirzakwal,1145249317.0,Stub
51,Afghanistan,South Asia,42.4,Abdul Karim Misaq,1235405154.0,Stub
52,Afghanistan,South Asia,42.4,Ali Mohammad (politician),1136630194.0,Stub
53,Afghanistan,South Asia,42.4,Nasruddin Mohseni,1136630129.0,Start
54,Afghanistan,South Asia,42.4,Davood Moradian,1239319380.0,Stub
55,Afghanistan,South Asia,42.4,Zalmai Mujadidi,1223903677.0,Start
56,Afghanistan,South Asia,42.4,Sardar Mohammad Nadir Naeem,1204109653.0,Stub
57,Afghanistan,South Asia,42.4,Daoud Naji,1247131367.0,Start
58,Afghanistan,South Asia,42.4,Gholam Rabani Nasher,1136534788.0,Stub
59,Afghanistan,South Asia,42.4,Ghulam Faroq Nijrabi,1136614778.0,Stub
60,Afghanistan,South Asia,42.4,Zabih-U-llah Ghazi Noristani,1136614682.0,Start
61,Afghanistan,South Asia,42.4,Mohammed Tahir Omar,1185088733.0,Stub
62,Afghanistan,South Asia,42.4,Mohammed Qalamuddin,1178097642.0,Stub
63,Afghanistan,South Asia,42.4,Ghulam Mohammad Rigi,1129192917.0,Stub
64,Afghanistan,South Asia,42.4,Ghulam Hassan Safi,1176507815.0,Stub
65,Afghanistan,South Asia,42.4,Hanifa Safi,1123824802.0,Stub
66,Afghanistan,South Asia,42.4,Mohammed Zia Salehi,1225457074.0,Stub
67,Afghanistan,South Asia,42.4,Abdul Majid Samim,1225425205.0,Stub
68,Afghanistan,South Asia,42.4,Saber Sangar,1227951669.0,Stub
69,Afghanistan,South Asia,42.4,Sayed Nasim Mihanparast,1172646418.0,Stub
70,Afghanistan,South Asia,42.4,Suhail Shaheen,1198363158.0,Start
71,Afghanistan,South Asia,42.4,Fazal Hadi Shinwari,1242412237.0,GA
72,Afghanistan,South Asia,42.4,Baktash Siawash,1250972393.0,Stub
73,Afghanistan,South Asia,42.4,Hasan Ali Sultani,1136614726.0,Stub
74,Afghanistan,South Asia,42.4,Mohammad Hashem Taufiqui,1233490009.0,Start
75,Afghanistan,South Asia,42.4,Pacha Gul Wafadar,1227179979.0,Stub
76,Afghanistan,South Asia,42.4,Wahidullah Waissi,1232389768.0,C
77,Afghanistan,South Asia,42.4,Ahmadullah Wasiq,1171042170.0,Start
78,Afghanistan,South Asia,42.4,Gul Ahmmad Yama,1136614561.0,Start
79,Afghanistan,South Asia,42.4,Abdul Salam Zaeef,1243758857.0,GA
80,Afghanistan,South Asia,42.4,Abdul Zahir (Konar Education Minister),1126667481.0,Stub
81,Afghanistan,South Asia,42.4,Mohammed Zaman,1229734414.0,Start
82,Afghanistan,South Asia,42.4,Ziauddin (Afghan militia leader),1150044800.0,Start
83,Afghanistan,South Asia,42.4,Qari Ziauddin,1245217124.0,Start
84,Afghanistan,South Asia,42.4,Abdul Ghafor Zori,1136614520.0,Stub
85,Albania,Southern Europe,2.7,Ali Pasha of Gusinje,1244421894.0,GA
86,Albania,Southern Europe,2.7,Ylli Asllani,1221605713.0,Start
87,Albania,Southern Europe,2.7,Azis Tahir Ajdonati,1192928746.0,Stub
88,Albania,Southern Europe,2.7,Bislim Bajgora,1217284690.0,C
89,Albania,Southern Europe,2.7,Kastriot Berissa,1244463139.0,Start
90,Albania,Southern Europe,2.7,Bardhok Biba,1250227174.0,C
91,Albania,Southern Europe,2.7,Kostandin Boshnjaku,1250227994.0,C
92,Albania,Southern Europe,2.7,Spartak Braho,1224650124.0,Start
93,Albania,Southern Europe,2.7,Safet Butka,1189442848.0,C
94,Albania,Southern Europe,2.7,Uran Butka,1196422551.0,Start
95,Albania,Southern Europe,2.7,Refo Çapari,1222381064.0,Start
96,Albania,Southern Europe,2.7,Neritan Ceka,1184807608.0,Start
97,Albania,Southern Europe,2.7,Hysni Curri,1198914812.0,Start
98,Albania,Southern Europe,2.7,Ibrahim Dalliu,1248264998.0,Start
99,Albania,Southern Europe,2.7,Niazi Demi,1209346411.0,Stub
100,Albania,Southern Europe,2.7,Abdurrahman Dibra,1244008227.0,Start
101,Albania,Southern Europe,2.7,Bujar Dida,1222151681.0,C
102,Albania,Southern Europe,2.7,Ahmed Dino,1209165678.0,Stub
103,Albania,Southern Europe,2.7,Rasih Dino,1180949327.0,Stub
104,Albania,Southern Europe,2.7,Ferhat Bey Draga,1236738861.0,C
105,Albania,Southern Europe,2.7,Nexhip Draga,1236738502.0,GA
106,Albania,Southern Europe,2.7,Aqif Pasha Elbasani,1243882903.0,GA
107,Albania,Southern Europe,2.7,Abas Ermenji,1240801210.0,Start
108,Albania,Southern Europe,2.7,Qamil Musa Haxhi Feza,1198224146.0,Stub
109,Albania,Southern Europe,2.7,Themistokli Gërmenji,1241037317.0,C
110,Albania,Southern Europe,2.7,Sabri Godo,1230739582.0,C
111,Albania,Southern Europe,2.7,Mihal Grameno,1226635783.0,C
112,Albania,Southern Europe,2.7,Aćif Hadžiahmetović,1229938943.0,GA
113,Albania,Southern Europe,2.7,High Council of Regency,1245450388.0,C
114,Albania,Southern Europe,2.7,Kurt Agë Kadiu,1244486529.0,Stub
115,Albania,Southern Europe,2.7,Mehmed Kalakula,1145510350.0,Stub
116,Albania,Southern Europe,2.7,Alfred Karamuço,1098236555.0,Stub
117,Albania,Southern Europe,2.7,Ibrahim Karbunara,1235824719.0,C
118,Albania,Southern Europe,2.7,Ali Këlcyra,1227369252.0,Start
119,Albania,Southern Europe,2.7,Bajram Kelmendi,1237006808.0,Start
120,Albania,Southern Europe,2.7,Kristo Kirka,1237950375.0,C
121,Albania,Southern Europe,2.7,Elez Koçi,1174010569.0,Start
122,Albania,Southern Europe,2.7,Xhelal Koprëncka,1209148780.0,Stub
123,Albania,Southern Europe,2.7,Kryeziu family,1236739222.0,Start
124,Albania,Southern Europe,2.7,Artur Kuko,1112281132.0,Stub
125,Albania,Southern Europe,2.7,Xhavid Leskoviku,1180950536.0,Start
126,Albania,Southern Europe,2.7,Sabit Lulo,1180950488.0,Stub
127,Albania,Southern Europe,2.7,Gjon Markagjoni,1227760361.0,C
128,Albania,Southern Europe,2.7,Tefik Mborja,1234673487.0,Start
129,Albania,Southern Europe,2.7,Hysni Milloshi,1218412314.0,Start
130,Albania,Southern Europe,2.7,Musa Qazimi,1235824584.0,GA
131,Albania,Southern Europe,2.7,Mustafa Ndroqi,1198219291.0,Stub
132,Albania,Southern Europe,2.7,Behxhet Nepravishta,1180949734.0,Stub
133,Albania,Southern Europe,2.7,Adrian Neritani,1196135017.0,Start
134,Albania,Southern Europe,2.7,Sali Nivica,1240539074.0,Start
135,Albania,Southern Europe,2.7,Thoma Orologa,1180949774.0,Start
136,Albania,Southern Europe,2.7,Bedri Pejani,1220757655.0,C
137,Albania,Southern Europe,2.7,Kadri Prishtina,1198167947.0,Start
138,Albania,Southern Europe,2.7,Ymer Prizreni,1215667416.0,Start
139,Albania,Southern Europe,2.7,Avni Rustemi,1229276965.0,Start
140,Albania,Southern Europe,2.7,Chatin Sarachi,1141930406.0,C
141,Albania,Southern Europe,2.7,Nebi Sefa,1244486537.0,Stub
142,Albania,Southern Europe,2.7,Eduard Shalsi,1173107489.0,Start
143,Albania,Southern Europe,2.7,Ylli Vesel Shehu,1250811470.0,Stub
144,Albania,Southern Europe,2.7,Athanas Shundi,1220369492.0,C
145,Albania,Southern Europe,2.7,Xhelal Sveçla,1217259369.0,Start
146,Albania,Southern Europe,2.7,Mehmet Tahsini,1239924043.0,Stub
147,Albania,Southern Europe,2.7,Ibrahim Temo,1228151428.0,GA
148,Albania,Southern Europe,2.7,Afrim Tole,1241836925.0,Stub
149,Albania,Southern Europe,2.7,Syreja Vlora,1186986269.0,Start
150,Albania,Southern Europe,2.7,Visarion Xhuvani,1135323365.0,C
151,Albania,Southern Europe,2.7,Visar Ymeri,1248230838.0,Stub
152,Albania,Southern Europe,2.7,Visar Ymeri,1248230838.0,Stub
153,Albania,Southern Europe,2.7,Abdyl Ypi,1220281072.0,Stub
154,Albania,Southern Europe,2.7,Xhezair Zaganjori,1143896123.0,Start
155,Albania,Southern Europe,2.7,Menduh Zavalani,1235824554.0,FA
156,Algeria,Northern Africa,46.8,Abdelkader Zoukh,1250270534.0,Start
157,Algeria,Northern Africa,46.8,Chaâbane Aït Abderrahim,1234096174.0,Start
158,Algeria,Northern Africa,46.8,Ali Aoun,1214835889.0,Start
159,Algeria,Northern Africa,46.8,Basma Azouar,1192088820.0,Stub
160,Algeria,Northern Africa,46.8,Mohamed Seghir Babes,1226280389.0,Stub
161,Algeria,Northern Africa,46.8,Noureddine Bahbouh,1099284595.0,Stub
162,Algeria,Northern Africa,46.8,Lamine Bechichi,1111537825.0,Stub
163,Algeria,Northern Africa,46.8,Aïssa Bekkai,1219685755.0,Stub
164,Algeria,Northern Africa,46.8,Abdelhakim Belabed,1218173615.0,Start
165,Algeria,Northern Africa,46.8,Mohamed Tarek Belaribi,1241671793.0,Start
166,Algeria,Northern Africa,46.8,Kamel Beldjoud,1214832676.0,Stub
167,Algeria,Northern Africa,46.8,Aboubakr Belkaid,1176411375.0,Start
168,Algeria,Northern Africa,46.8,Youcef Belmehdi,1239235131.0,Stub
169,Algeria,Northern Africa,46.8,Mohamed Cherif Belmihoub,1226553342.0,Start
170,Algeria,Northern Africa,46.8,Mohamed Belouizdad,1169278443.0,Start
171,Algeria,Northern Africa,46.8,Benaouda Hadj Hacène Bachterzi,1237478919.0,Stub
172,Algeria,Northern Africa,46.8,Souad Bendjaballah,1134649751.0,Stub
173,Algeria,Northern Africa,46.8,Abdelkrim Benmbarek,1245801726.0,Stub
174,Algeria,Northern Africa,46.8,Mohamed Bensalam,1235672021.0,Stub
175,Algeria,Northern Africa,46.8,Fayçal Bentaleb,1217131488.0,Stub
176,Algeria,Northern Africa,46.8,Ahmed Bidani,1212186965.0,Start
177,Algeria,Northern Africa,46.8,Kamel Bidari,1249963763.0,GA
178,Algeria,Northern Africa,46.8,Rachid Bladehane,1186319378.0,Stub
179,Algeria,Northern Africa,46.8,Saïd Boualam,1240883461.0,Start
180,Algeria,Northern Africa,46.8,Rabah Bouaziz,1232492563.0,Start
181,Algeria,Northern Africa,46.8,Abdeslam Bouchouareb,1203569345.0,Stub
182,Algeria,Northern Africa,46.8,Ibrahim Boughali,1230623499.0,Stub
183,Algeria,Northern Africa,46.8,Yahia Boukhari,1186319308.0,Stub
184,Algeria,Northern Africa,46.8,Mohamed Bouslimani,1224118485.0,Stub
185,Algeria,Northern Africa,46.8,Foued Chehat,1242037866.0,Stub
186,Algeria,Northern Africa,46.8,Hamza Al Sid Cheikh,1248318178.0,Stub
187,Algeria,Northern Africa,46.8,Hocine Cherhabil,1242619010.0,Stub
188,Algeria,Northern Africa,46.8,Abderrahmane Meziane Chérif,1220757834.0,Start
189,Algeria,Northern Africa,46.8,Saïd Chibane,1230435685.0,Stub
190,Algeria,Northern Africa,46.8,Brahim Chibout,1053460621.0,Stub
191,Algeria,Northern Africa,46.8,Youcef Chorfa,1214834266.0,Start
192,Algeria,Northern Africa,46.8,Fazia Dahleb,1244337610.0,Stub
193,Algeria,Northern Africa,46.8,Taha Derbal,1213344636.0,Stub
194,Algeria,Northern Africa,46.8,Nassim Diafat,1213342432.0,Stub
195,Algeria,Northern Africa,46.8,Mokhtar Didouche,1227200392.0,Start
196,Algeria,Northern Africa,46.8,Bouras Djamel,1226437538.0,Stub
197,Algeria,Northern Africa,46.8,Fatiha Serour,1218302579.0,Start
198,Algeria,Northern Africa,46.8,Ahmed Hamiani,1226452639.0,Stub
199,Algeria,Northern Africa,46.8,Nadir Kassab,1226271746.0,Stub
200,Algeria,Northern Africa,46.8,Brahim Djamel Kassali,1172500304.0,Start
201,Algeria,Northern Africa,46.8,Kaoutar Krikou,1213795388.0,Stub
202,Algeria,Northern Africa,46.8,Sassi Lamouri,1181986973.0,Stub
203,Algeria,Northern Africa,46.8,Mohamed Maghlaoui,1053469610.0,Stub
204,Algeria,Northern Africa,46.8,Amar Makhloufi,1235394946.0,Stub
205,Algeria,Northern Africa,46.8,Yassine Merabi,1214841607.0,Stub
206,Algeria,Northern Africa,46.8,Brahim Merad,1244511083.0,Start
207,Algeria,Northern Africa,46.8,Bachir Messaitfa,1186318318.0,Stub
208,Algeria,Northern Africa,46.8,Azzedine Mihoubi,1233387309.0,Start
209,Algeria,Northern Africa,46.8,Mohamed Ali Boughazi,1213870570.0,Start
210,Algeria,Northern Africa,46.8,Amar Mohammedi,1226279231.0,Start
211,Algeria,Northern Africa,46.8,Samia Moualfi,1212181372.0,Stub
212,Algeria,Northern Africa,46.8,Soraya Mouloudji,1226335614.0,Stub
213,Algeria,Northern Africa,46.8,Yacine Oualid,1214837789.0,Stub
214,Algeria,Northern Africa,46.8,Cherif Rahmani,1053461144.0,Stub
215,Algeria,Northern Africa,46.8,Lakhdar Rakhroukh,1186317568.0,Stub
216,Algeria,Northern Africa,46.8,Laid Rebiga,1248662394.0,Stub
217,Algeria,Northern Africa,46.8,Kamel Rezig,1215901775.0,Stub
